Hugo_Symbol	Entrez_Gene_Id	01CO001	01CO005	01CO006	01CO008	01CO013	01CO014	01CO015	01CO019	01CO022	05CO002	05CO003	05CO005	05CO006	05CO007	05CO011	05CO014	05CO015	05CO020	05CO026	05CO028	05CO029	05CO032	05CO033	05CO034	05CO035	05CO037	05CO039	05CO041	05CO044	05CO045	05CO047	05CO048	05CO049	05CO050	05CO053	05CO054	05CO055	06CO001	06CO002	09CO005	09CO006	09CO008	09CO011	09CO013	09CO014	09CO015	09CO018	09CO019	09CO022	11CO005	11CO007	11CO008	11CO010	11CO018	11CO019	11CO020	11CO021	11CO022	11CO027	11CO030	11CO031	11CO032	11CO033	11CO036	11CO037	11CO039	11CO042	11CO043	11CO044	11CO045	11CO047	11CO048	11CO051	11CO052	11CO053	11CO054	11CO057	11CO058	11CO059	11CO060	11CO061	11CO062	11CO070	11CO072	11CO077	11CO079	14CO002	14CO003	14CO005	15CO001	15CO002	16CO002	16CO003	16CO006	16CO011	16CO012	20CO001	20CO003	20CO004	20CO007	21CO006	21CO007	22CO004	22CO006	24CO005	27CO004
A1CF	29974	10.1984	10.1586	9.2119	10.7322	9.716	9.5177	9.6275	9.5736	4.858	9.2432	8.9159	9.9858	5.7004	6.2854	10.4367	10.098	9.2923	9.9337	10.1447	9.7582	9.3663	8.4471	9.3902	10.3848	10.7004	5.9773	10.1972	6.3923	4.0875	9.098	10.1098	9.1749	10.4522	8.2715	10.2252	9.1215	9.7499	10.2058	9.7665	9.7448	10.6239	10.9189	9.6092	9.1649	9.8138	10.3219	9.3772	10.0196	9.4284	10.1383	7.9009	9.8025	9.633	6.3399	8.0056	9.4676	8.6795	9.9204	10.3287	10.3219	9.7682	9.5196	8.7515	7.1497	10.1215	10.6239	9.5353	9.0553	6	7.4512	8.6689	8.9039	7.2574	8.8887	9.9218	10.1812	9.2527	10.1699	7.1699	7.6511	8.5699	9.4757	7.375	8.9099	9.7599	9.9801	10.2715	8.4009	10.4828	9.1997	9.1319	9.7748	9.9159	9.6129	10.062	9.6184	8.5078	2.585	10.1408	9.0688	9.2336	10.0768	10.9293	9.2432	8.6546	9.8025
A2M	2	13.8117	12.6434	15.004	13.9284	12.9963	11.87	13.0274	12.5637	11.6234	15.3414	12.614	11.7993	13.1649	13.0539	13.2824	13.3714	13.6875	13.9425	13.1752	12.9518	13.3498	11.952	13.9088	13.8	14.1044	14.0064	11.9833	11.8384	11.7503	13.5216	12.3509	13.7038	13.7429	11.227	11.3832	11.8715	13.0674	12.8508	13.5683	13.365	12.7035	13.4684	13.3961	12.4278	13.341	12.3961	11.9564	11.2842	13.3208	13.4099	11.2877	12.103	12.7115	13.3368	13.4654	13.0369	13.3288	12.6161	11.3197	12.9399	11.8537	12.1405	12.917	12.2273	12.7482	11.3815	12.7705	12.4179	12.8872	13.5147	12.9401	14.2781	13.2653	13.8356	13.6199	12.4551	13.5846	13.965	12.4569	12.3783	12.057	12.7551	13.0007	12.752	13.0384	12.5127	11.7528	12.5083	12.0289	13.7785	14.3094	13.5882	13.9128	13.5352	14.259	11.6234	14.2033	13.7171	11.3078	12.7292	12.9123	13.4762	12.6131	14.262	13.025	13.1139
A4GALT	53947	7.0224	6.7279	6.858	4.9542	6.3576	6.5392	6.7004	5.5546	4.3219	8.1948	6.8704	6.8329	6.5699	8.5507	6.9307	6.7549	7.5078	7.1396	6.5546	5.0444	5.4919	6.6865	7.9009	7.7211	6.7004	7.5774	5.0875	6.4757	7.585	7.1293	5.8329	7.1085	6.7004	5.4263	5.9773	5.1293	7.1799	6.7814	8.1137	7.1997	6.1699	6.1085	5.7814	6.3923	6.9773	7.2479	6.7415	7.0768	6.4429	7.7347	6.5546	7.9307	7.4179	7.6366	7.1189	6.6865	6.8074	6.1699	6.6865	7.0444	5.9069	6.9425	7.3038	6.8455	6.8074	6.4594	6.7682	7.0553	6.9307	7.8455	7.3038	8.29	7.2946	6.9307	6.4594	7.1997	7.1085	6.6439	7.7211	6.0875	7.0334	7.6439	7.9189	6.9887	7.7415	6.4429	5.1699	6.3038	7.4757	6.2668	7.2095	7.6073	7.6724	6.9658	6.8202	6.8455	7.9009	7.3309	5.6147	5.1699	7.6073	6.4594	5.5236	7.5546	8.0498	7.9069
AAAS	8086	9.4115	8.9972	9.7056	9.1497	9.6202	9.0224	9.7748	9.4998	10.3421	9.4491	9.6018	9.9816	9.9114	9.6493	9.8376	9.8994	9.6987	9.4263	10.5536	10.1176	9.3576	9.7177	9.7022	10.1098	9.4676	9.9396	9.3837	10.0661	9.6546	10.1674	9.8486	9.8154	9.7879	10.2877	9.8826	10.0238	9.5236	9.2877	9.3061	9.716	9.5038	9.6689	9.8502	9.7022	9.2432	9.5157	9.0028	9.0444	9.6055	9.1699	8.9069	10.0741	9.3421	9.3576	9.6421	9.8408	9.4574	9.1241	9.1674	9.4696	9.1997	9.2021	9.0028	9.8154	9.1396	8.8265	9.6564	9.6439	9.8826	9.8392	9.8154	9.4594	10.242	10.3837	9.8933	9.5058	9.6184	9.7245	8.9858	9.1523	9.8281	9.9039	9.5488	9.5999	9.4615	9.3287	10.0458	9.7499	9.3837	10.0993	9.9366	9.7074	9.6475	10.3095	9.6312	9.9972	9.2503	9.5196	9.5793	9.5353	9.4778	9.6018	9.3332	9.3264	10.2228	9.7582
AACS	65985	9.7432	9.9084	9.1997	8.9425	9.2738	9.6653	9	9.1111	9.5353	8.7549	9.8642	9.3923	9.8765	9.3487	8.9858	9.1898	8.8704	9.6294	10.2969	9.3923	8.5236	9.4998	9.3015	9.7091	9.6812	10.1447	9.9944	9.716	9.3945	9.4157	9.8533	9.3242	9.1948	9.5699	9.5812	9.9263	8.9972	9.3465	8.9307	10.2467	9.3151	9.6528	9.7108	10.3387	9.1699	9.2192	8.8392	9.2503	9.8811	9.3685	9.4325	9.8074	9.3061	10.2491	9.716	9.7682	9.6564	9.7863	9.4346	9.0389	9.4696	9.6707	9.8376	9.4094	9.2527	9.5216	9.4635	9.7039	9.8657	9.2831	9.4898	9.0848	10.0861	9.3576	9.0634	9.0028	9.3509	9.7177	9.1972	9.1599	9.3242	10.5934	9.0279	9.403	8.5469	9.4409	8.8857	9.4838	9.0795	10.3696	9.9233	9.6689	8.9454	9.4676	9.3197	9.783	8.9099	9.098	9.6421	9.6294	8.9248	9.1573	9.2877	8.7039	9.3729	9.2479
AADACP1	201651	4.585	4.7004	5	6.0224	4.1699	4.1699	8.6294	5.3219	3.3219	5.6439	3.7004	6	8.0553	3.1699	3.4594	4	4.4594	3.7004	4.3923	6.8948	5	5.0444	4.2479	6	6.5546	4.7004	6.3399	2.3219	6.7279	5.585	5.1293	4.7549	5	5.0444	6.585	4.2479	4.7004	4.858	5.0875	5.4263	5.6439	6.1293	4.5236	3.1699	4.858	5.3576	5.1293	7.4094	5.4919	4.858	4.9542	7.5236	5.9773	6.0875	7.5157	3	2.585	4.4594	5.6724	3.585	3.4594	4.1699	3.4594	3.4594	5.0444	4.7004	4.585	7.6795	4.8074	4.3219	4	4	2	3.8074	5.4594	7.0334	5.0875	5.2479	4.9542	4.0875	5.0875	4.1699	5	5.9542	6.5699	6.4594	4.5236	5.9307	5.2479	6.585	3.1699	4.3923	4.7004	7.2384	7.7748	6.0444	4.4594	3	6.0224	5.6724	4.8074	5	5	5.5546	3.1699	6.0224
AADAT	51166	8.4635	8.2046	8.4676	7.4179	7.098	9.1215	7.6935	6.9425	9.3729	7.6795	9.0768	9.4998	8.5118	7.9248	7.4512	8.4221	7.4594	5.8329	8.5546	8.7142	6.8202	8.7944	7.2854	6.8074	6.3219	8.4919	8.2095	8.3038	7.9129	7.6221	8.6294	7.1997	8.0928	8.9744	8.4959	8.4009	6.7944	5.2095	8.2095	8.5736	7.5999	8.0279	7.7616	6.4757	7.6935	6.5546	8.4094	7.0444	7.1189	7	8.1085	7.3219	6.6147	6	5.858	7	7.8202	7.6865	7.5699	7.5392	8.3399	6.9069	7.8009	8.4221	8.3354	7.9189	6.7682	8.4136	8.0224	8.1396	6.8826	6.5999	8.1799	8.7039	7.6935	7.4009	8.7347	7.858	7.5774	7.2192	5.7279	8.2992	8.5925	7.7616	7.5546	7.6366	7.7549	6.2854	7.6653	7.9307	7.7211	6.8202	7.3837	8.2668	6.3219	8.0875	8.6582	6.2095	7.2479	7.9307	7.5078	7.6865	7.3663	7.3129	7.0444	7.7682
AAED1	NA	7.6221	7.0768	7.1293	7.7074	5.9069	6.8455	7.3038	6.3576	7.3576	7.4998	6.6294	7.3399	7.5236	7.6795	7.1799	6.2479	7.5774	7.2761	6.9425	7.9715	7.6221	8.8041	8.3531	6.7004	6.9542	7.2095	7.3129	8.0224	7.5236	7.3129	6.3576	7.3923	6.4094	6.9189	7.0224	6.0444	7.3837	7.1898	7.5392	7.3129	7.6511	6.6294	7.0224	7.5546	6.7814	7.1799	7.7814	7.3487	6.9887	7.4757	7.7682	7.6073	6.7682	7.4919	7.1699	7.6073	7.3038	7.2946	7.8265	7.2192	8.3576	8.0661	7.5622	6.7142	6.9189	6.5699	6.4594	7.5236	6.4094	6.7142	6.585	6.858	7.1997	7.6439	6.8826	7.4429	6.7142	6.9307	7.3129	7.1699	7.7415	7.2761	7.3837	6.858	7.4594	7.5699	6.7415	6.9307	7.3663	7	7.4838	6.5999	7.1396	7.098	7.5469	7.9715	7.7279	7.7074	6.1085	6.2668	8.3083	6.2095	6.858	8.0389	8.3399	7.0444
AAGAB	79719	11.2336	10.5362	10.9337	10.7194	10.2252	11.6316	11.1662	11.0396	11.1774	9.9469	10.5324	11.3309	10.7674	10.8895	10.3015	10.4798	11.5479	10.668	10.5962	11.6466	11.6653	12.3487	10.7065	10.8796	9.4858	10.3923	11.0993	10.7764	10.5265	11.4409	11.4419	11.178	10.7764	11.3691	11.9129	10.7871	10.7177	10.7039	10.8281	10.5793	11.6843	10.4231	10.4009	11.163	10.2479	10.6339	11.9462	10.5498	11.0437	10.3399	11.5594	11.3548	9.4998	10.2432	10.3696	10.4878	10.7524	10.6138	11.8134	9.8948	11.7198	10.851	10.8619	10.9744	10.9758	11.0334	9.6511	10.1098	10.1599	10.4409	10.4398	9.9586	10.6555	11.0458	10.5078	10.5613	10.5575	10.3761	10.769	10.6375	11.7202	10.5324	11.1898	10.8218	10.4041	10.1523	11.1618	10.4717	10.5999	10.744	10.69	10.6715	10.3498	10.7389	9.8842	11.4062	11.0914	11.255	10.2288	10.7887	10.8918	10.9159	10.9031	11.1592	11.0566	11.0049
AAK1	22848	8.3219	9.6402	9.5661	9.3376	9.7944	7.6294	10.6366	9.4737	7.8329	9.8154	9.3038	7.6865	9.0607	9.1724	9.6129	10.4727	8.8857	10.3608	9.6847	6.9307	7.9009	7.098	8.2992	8.7211	11.0694	8.5236	8.4051	9.1898	9.7616	7.1189	11.7944	7.9425	9.388	8.7039	7.4512	9.2738	8.8202	10.3219	9.4221	10.1111	8.4717	10.0307	9.4367	9.7532	10.3576	11.4564	7.1898	7.9189	8.6036	10.1254	7.4757	7.4512	8.9189	9.4305	9.445	8.4388	10.9737	8.9069	7.2668	9.7194	7.2479	8.7549	8.9278	8.697	10.3049	7.8765	9.6707	10.5699	10.4336	9.8138	9.3354	9.5333	9.0553	8.8765	10.098	9.4491	10.1306	10.5699	8.4998	9.6475	6.4757	8.6439	9.0362	9.683	10.255	9.4409	8.1241	8.9915	9.2167	8.7245	8.3837	8.5314	9.4574	8.6724	9.1163	8.0224	9.5038	7.9715	10.4231	8.7912	8.5887	10.9315	8.8361	9.2597	8.098	9.1997
